address,name_legit,size_legit,nodes_legit,edges_legit,inst_count_legit,mnemonic_sha1_legit,disasm_sha1_legit,mnemonic_preview_legit,name_patched,size_patched,nodes_patched,edges_patched,inst_count_patched,mnemonic_sha1_patched,disasm_sha1_patched,mnemonic_preview_patched,_merge,classification
4545136,sub_455A70,24.0,3.0,6.0,47.0,587ff36954488e9cea1cc53f9627d0d8a932910b,5805072f0b58d38cfe722d86d47a136159f1aec8,jcnd push mov mov mov cmp jz push call pop retn mov mov mov add ldx mov mov mov add ldx mov mov mov add ldx setb seto sub setz setp sets mov mov nop push mov nop nop mov mov call nop pop mov add icall,sub_455A70,24.0,3.0,6.0,47.0,587ff36954488e9cea1cc53f9627d0d8a932910b,5805072f0b58d38cfe722d86d47a136159f1aec8,jcnd push mov mov mov cmp jz push call pop retn mov mov mov add ldx mov mov mov add ldx mov mov mov add ldx setb seto sub setz setp sets mov mov nop push mov nop nop mov mov call nop pop mov add icall,both,same
4545168,public: virtual void Concurrency::details::ThreadProxyFactory<class Concurrency::details::FreeThreadProxy>::ReclaimProxy(struct Concurrency::IThreadProxy near *),99.0,10.0,26.0,189.0,6901e3b02acf025fcfcd3341865c614b55f6e9b9,3586fc20a6878250cd79608920512a1c92d3840f,jcnd jcnd goto jcnd jcnd push mov push mov xor push mov mov cmp jz inc cmp jl jmp push lea lea push call movzx cmp jge lea push push call xor pop test jz mov push mov mov call mov call pop pop pop retn mov mov mov add ldx mov mov mov mov setz setp sets mov mov mov add ldx mov mov mul mov add ldx mov setb seto sub setz setp sets mov mov ofadd add,public: virtual void Concurrency::details::ThreadProxyFactory<class Concurrency::details::FreeThreadProxy>::ReclaimProxy(struct Concurrency::IThreadProxy near *),99.0,10.0,26.0,189.0,6901e3b02acf025fcfcd3341865c614b55f6e9b9,3586fc20a6878250cd79608920512a1c92d3840f,jcnd jcnd goto jcnd jcnd push mov push mov xor push mov mov cmp jz inc cmp jl jmp push lea lea push call movzx cmp jge lea push push call xor pop test jz mov push mov mov call mov call pop pop pop retn mov mov mov add ldx mov mov mov mov setz setp sets mov mov mov add ldx mov mov mul mov add ldx mov setb seto sub setz setp sets mov mov ofadd add,both,same
4545280,public: virtual void Concurrency::details::FreeThreadProxyFactory::ReclaimProxy(struct Concurrency::IThreadProxy near *),165.0,14.0,42.0,333.0,910536100b9b8402ba12301689ad3b3e5493ceaf,732a6e5fce7b0b1e7640e4158ed2c97dfa6a9d16,jcnd jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd push mov push mov push mov cmp jnz mov xor cmp jz inc cmp jl jmp push lea lea push call movzx cmp jge lea push push call cmp jz push call mov lea neg sbb and jz mov mov push mov mov call mov call mov lea neg sbb and jnz xor pop test jz mov push mov mov call mov call pop pop pop retn mov mov mov mov,public: virtual void Concurrency::details::FreeThreadProxyFactory::ReclaimProxy(struct Concurrency::IThreadProxy near *),165.0,14.0,42.0,333.0,910536100b9b8402ba12301689ad3b3e5493ceaf,732a6e5fce7b0b1e7640e4158ed2c97dfa6a9d16,jcnd jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd push mov push mov push mov cmp jnz mov xor cmp jz inc cmp jl jmp push lea lea push call movzx cmp jge lea push push call cmp jz push call mov lea neg sbb and jz mov mov push mov mov call mov call mov lea neg sbb and jnz xor pop test jz mov push mov mov call mov call pop pop pop retn mov mov mov mov,both,same
4545456,sub_455BB0,10.0,1.0,0.0,33.0,83ccd7c4f55c7773ca47eb8ee7716c0882dc6483,a5c2857811e88c974fa7ede002ca6b0b0908f68e,xor inc xadd inc retn mov mov mov setz setp sets ofadd add setz setp sets mov mov add ldx mov setz setp sets ofadd add setz setp sets nop pop mov icall,sub_455BB0,10.0,1.0,0.0,33.0,83ccd7c4f55c7773ca47eb8ee7716c0882dc6483,a5c2857811e88c974fa7ede002ca6b0b0908f68e,xor inc xadd inc retn mov mov mov setz setp sets ofadd add setz setp sets mov mov add ldx mov setz setp sets ofadd add setz setp sets nop pop mov icall,both,same
4545472,public: virtual long Concurrency::details::FreeThreadProxyFactory::Release(void),45.0,4.0,10.0,91.0,4b0fe77f9b6aedf31c6e08dc78f4057c244ec9a5,46753f36f7ce45f124598d1948c60916106acbeb,jcnd jcnd push push mov or xadd dec jnz test jz mov push push mov mov call mov call pop pop mov pop retn mov mov or mov mov setz setp sets mov mov add ldx mov setz setp sets seto sub setz setp sets mov mov lnot mov and mov mov setz setp sets mov mov mov mov ldx mov nop push mov nop push mov mov add ldx mov mov mov nop nop mov mov ldx nop mov,public: virtual long Concurrency::details::FreeThreadProxyFactory::Release(void),45.0,4.0,10.0,91.0,4b0fe77f9b6aedf31c6e08dc78f4057c244ec9a5,46753f36f7ce45f124598d1948c60916106acbeb,jcnd jcnd push push mov or xadd dec jnz test jz mov push push mov mov call mov call pop pop mov pop retn mov mov or mov mov setz setp sets mov mov add ldx mov setz setp sets seto sub setz setp sets mov mov lnot mov and mov mov setz setp sets mov mov mov mov ldx mov nop push mov nop push mov mov add ldx mov mov mov nop nop mov mov ldx nop mov,both,same
4545520,"public: virtual struct Concurrency::IThreadProxy near * Concurrency::details::ThreadProxyFactory<class Concurrency::details::FreeThreadProxy>::RequestProxy(unsigned int,int)",130.0,9.0,26.0,253.0,f891923dcfda11320cc2fc16c15f1793aa269618,070575d41066f78fd6a6c4eb578f6c9a84c92425,jcnd jcnd jcnd jcnd jcnd push mov push push mov mov push push xor mov lea mov cmp ja push call mov lea neg sbb and jnz mov mov add add mov cmp jl test jnz mov push mov mov call mov call mov test jz mov push push mov mov call mov call mov pop pop pop leave retn mov mov mov mov add ldx mov mov mov mov setz setp sets mov mov mov add mov mov mov,"public: virtual struct Concurrency::IThreadProxy near * Concurrency::details::ThreadProxyFactory<class Concurrency::details::FreeThreadProxy>::RequestProxy(unsigned int,int)",130.0,9.0,26.0,253.0,f891923dcfda11320cc2fc16c15f1793aa269618,070575d41066f78fd6a6c4eb578f6c9a84c92425,jcnd jcnd jcnd jcnd jcnd push mov push push mov mov push push xor mov lea mov cmp ja push call mov lea neg sbb and jnz mov mov add add mov cmp jl test jnz mov push mov mov call mov call mov test jz mov push push mov mov call mov call mov pop pop pop leave retn mov mov mov mov add ldx mov mov mov mov setz setp sets mov mov mov add mov mov mov,both,same
4545664,sub_455C80,15.0,1.0,0.0,23.0,c46d69d5b244fe36e69db34f97a5eb57ee033810,811d9348aa5dc11dbf77ee40417c199144526d3c,push mov mov call pop retn mov mov mov add ldx mov mov nop nop mov mov call nop pop mov add icall,sub_455C80,15.0,1.0,0.0,23.0,c46d69d5b244fe36e69db34f97a5eb57ee033810,811d9348aa5dc11dbf77ee40417c199144526d3c,push mov mov call pop retn mov mov mov add ldx mov mov nop nop mov mov call nop pop mov add icall,both,same
4545679,public: void Concurrency::details::ThreadProxyFactory<class Concurrency::details::FreeThreadProxy>::RetireThreadProxies(void),108.0,7.0,18.0,215.0,f7659c83b87253981b59ee21e421ce28301bb694,49720f8948027f9d9dee88827e9efa21d1f76c25,jcnd jcnd jcnd push mov sub push push mov push push pop lea mov mov mov push call mov lea neg sbb and jz mov mov mov push mov mov call mov call mov lea neg sbb and jnz mov mov add sub mov mov jnz pop pop pop leave retn mov mov mov mov und und mov mov nop nop nop mov mov add mov mov mov mov sub stx mov mov mov sub stx mov mov mov sub,public: void Concurrency::details::ThreadProxyFactory<class Concurrency::details::FreeThreadProxy>::RetireThreadProxies(void),108.0,7.0,18.0,215.0,f7659c83b87253981b59ee21e421ce28301bb694,49720f8948027f9d9dee88827e9efa21d1f76c25,jcnd jcnd jcnd push mov sub push push mov push push pop lea mov mov mov push call mov lea neg sbb and jz mov mov mov push mov mov call mov call mov lea neg sbb and jnz mov mov add sub mov mov jnz pop pop pop leave retn mov mov mov mov und und mov mov nop nop nop mov mov add mov mov mov mov sub stx mov mov mov sub stx mov mov mov sub,both,same
4545792,public: virtual void Concurrency::details::FreeThreadProxyFactory::ShutdownFactory(void),33.0,1.0,0.0,53.0,a9c8556d05c582fdc1e72a216c03c337bc74d1b6,0fa37228eac867157e5ebf4794a8110d77935c4f,push push mov mov call mov mov mov call mov call pop pop retn mov mov mov mov mov add stx mov nop nop mov mov call mov mov ldx mov mov mov add ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop pop mov icall,public: virtual void Concurrency::details::FreeThreadProxyFactory::ShutdownFactory(void),33.0,1.0,0.0,53.0,a9c8556d05c582fdc1e72a216c03c337bc74d1b6,0fa37228eac867157e5ebf4794a8110d77935c4f,push push mov mov call mov mov mov call mov call pop pop retn mov mov mov mov mov add stx mov nop nop mov mov call mov mov ldx mov mov mov add ldx mov mov mov nop nop mov mov ldx nop mov mov nop nop icall nop pop mov icall,both,same
4545825,sub_455D21,23.0,3.0,6.0,41.0,dddc6516566f58655bfd2d7d958873a05e5a96e9,5df4fb21455acd8504a3de233c295171899447d1,jcnd cmp jnz call shl mov retn mov mov ldx mov setb seto sub setz setp sets mov mov lnot mov nop nop mov mov call mov cfshl shl und setz setp sets mov mov mov stx nop pop mov icall,sub_455D21,23.0,3.0,6.0,41.0,dddc6516566f58655bfd2d7d958873a05e5a96e9,5df4fb21455acd8504a3de233c295171899447d1,jcnd cmp jnz call shl mov retn mov mov ldx mov setb seto sub setz setp sets mov mov lnot mov nop nop mov mov call mov cfshl shl und setz setp sets mov mov mov stx nop pop mov icall,both,same
