address,name_legit,size_legit,nodes_legit,edges_legit,inst_count_legit,mnemonic_sha1_legit,disasm_sha1_legit,mnemonic_preview_legit,name_patched,size_patched,nodes_patched,edges_patched,inst_count_patched,mnemonic_sha1_patched,disasm_sha1_patched,mnemonic_preview_patched,_merge,classification,inst_delta,size_delta
4318592,sub_41E580,313.0,18.0,54.0,660.0,109a89a75f349bddf8adcbadd715b46ca7daa883,490a0441a72912e33fe8c1dfb5979020ed8967fa,jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd goto goto push mov sub mov mov mov mov mov cmp jl jg cmp jbe mov call mov mov cmp jl jg cmp jbe mov cmp jg jl mov cmp jnb mov mov mov mov mov push mov push mov call push call add push push mov push mov push call add mov mov sub mov sbb mov mov mov push mov call jmp mov push call add movzx,sub_41E580,60.0,8.0,12.0,82.0,d718fb9806b220bc1fa1351aff5c127a845805ec,131464a15716cf0a77c9f0c379003dc262f146dd,jcnd goto goto jz cli cmp sar sal daa jmp mov in dec rcr adc enter dec jnb retn xor scas pop pop inc mov xchg retn mov mov call mov mov setb seto sub setz setp sets mov add mov ldx mov cfshr sar und setz setp sets stx mov mov ldx cfshl shl und setz setp sets stx ext mov mov nop pop ofadd add setz setp sets mov mov mov stx mov mov mov nop pop mov,both,patched,578.0,253.0
4400032,"protected: virtual class std::ostreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>> std::num_put<unsigned short,class std::ostreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>>::do_put(class std::ostreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>,class std::ios_base near &,unsigned short,double)const",328.0,17.0,44.0,585.0,351d2df0253f7f0f7353e1821f58a3502a67458b,56c4184d40afeae7f5fc3f2b7d68630946ebeb17,jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd push mov call mov mov mov and mov mov mov mov mov and and mov mov test jg jl test jnz cmp jz push pop xor fld mov mov cmp jnz fld fabs fcomp fnstsw test jnz lea push push push fstp call mov mov cdq add xor sub imul cdq idiv add push lea fstp push lea call cmp lea mov mov jb mov fld lea push push fstp push push,sub_4323A0,94.0,6.0,10.0,38.0,09739bff8303a2b1e69870aaf0b90068d64fddfa,718b22b8cd0e81bca6cdd15ece302ac3a89af68a,dec and int jge mov das mov mov stosd loop outsb in cmp idiv daa jmp retn xchg stc xor mov icebp cmp push cdq scasd mov cdq adc mov add enter push stosd stosb les inc jmp,both,patched,547.0,234.0
4202768,sub_402110,269.0,23.0,64.0,559.0,f1041ce997eef8b906c04c09a421de3bba327934,9f2d1a7ef73a1f8bfda20723eae4b3bc9ee991b1,jcnd goto jcnd goto jcnd jcnd goto jcnd goto jcnd goto jcnd jcnd jcnd goto jcnd goto mov mov mov mov und und mov mov mov sub stx mov mov add ldx mov setb seto sub setz setp sets mov mov xor mov mov mov mov sub stx mov mov mov mov mov mov sub stx mov mov sub ldx mov mov mov mov sub stx mov mov sub ldx mov setb seto sub setz setp sets mov mov lnot,sub_402110,17.0,4.0,6.0,35.0,748f6cdf111261cbea6bfe17dce48e8686b40f52,6835f41d6760f6736861197f9db886a0ff0ab3ed,jcnd goto goto mov mov call mov mov setb seto sub setz setp sets ext mov mov add ldx xdu add setb seto sub setz setp sets mov mov jz cli cmp insb sbb mov,both,patched,524.0,252.0
4400320,"protected: virtual class std::ostreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>> std::num_put<unsigned short,class std::ostreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>>::do_put(class std::ostreambuf_iterator<unsigned short,struct std::char_traits<unsigned short>>,class std::ios_base near &,unsigned short,long double)const",328.0,17.0,44.0,585.0,351d2df0253f7f0f7353e1821f58a3502a67458b,8f3c948ff1653a20bf56b9d361b0194ee6d74bfc,jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd push mov call mov mov mov and mov mov mov mov mov and and mov mov test jg jl test jnz cmp jz push pop xor fld mov mov cmp jnz fld fabs fcomp fnstsw test jnz lea push push push fstp call mov mov cdq add xor sub imul cdq idiv add push lea fstp push lea call cmp lea mov mov jb mov fld lea push push fstp push push,sub_4324C0,152.0,12.0,24.0,64.0,271d91af2e0c08352898eb448842f45daa52a4d5,1275558d333f3840fc131b77512a9c34c9ea86dc,adc lodsb mov xchg imul arpl mov inc outsd jb sti or jns sbb push insd or call jmp dec and in jle mov das mov mov stosd loop outsb in cmp idiv daa jmp arpl lodsb mov fcmovb dec inc retf retn xchg stc xor mov icebp cmp push cdq scasd mov cdq adc mov add enter push stosd stosb les inc jmp,both,patched,521.0,176.0
4752240,sub_488370,672.0,26.0,54.0,671.0,cba8174aad8d743b679a93d429a94ba464ddaab4,aed1aad75d748dda758dfb2ee9f72e3cbc3b3f22,jcnd goto jcnd jcnd jcnd jcnd goto jcnd mov mov mov mov und und mov mov und und und mov mov mov sub stx mov mov mov mov sub stx mov mov mov mov sub stx mov nop push mov sub mov mov nop nop mov mov call mov mov mov mov sub stx mov nop nop mov mov call mov and mov mov setz setp sets mov mov mov mov mov mov sub stx mov nop push mov sub,sub_488370,691.0,31.0,64.0,164.0,b3de0a602dd1f6e3595b47c098a3a320f1dcddf2,0b230412e11a55ca1b2f7d9e2a6ef866f5011bc9,jz cli mov adc popa scasd jb scasb fcmovb lds cli push mov push push mov push sub mov xor mov push lea mov mov mov mov push lea call mov call test jz mov push lea call mov mov mov mov mov or mov lea call push push push push lea push push mov call push call add mov jmp mov mov mov and jz and lea call lea call push call test jnz push push lea call push,both,patched,507.0,19.0
4754672,sub_488CF0,364.0,15.0,34.0,540.0,83a30715eb1708e4aecb5f495c5569232e802cfa,144749006852419e93c9e390a918bb768daf5720,jcnd goto jcnd goto jcnd goto jcnd jcnd mov mov mov mov und und mov mov und und und mov mov mov sub stx mov mov mov mov sub stx mov nop push mov sub mov mov nop nop mov mov call mov mov mov mov sub stx mov mov mov mov sub stx mov mov sub ldx mov mov mov add ldx mov setb seto sub setz setp sets mov mov lnot mov mov mov nop push mov mov,sub_488CF0,364.0,15.0,34.0,108.0,bff6d8e92cc92c0a582778a8d01f2a7b5cd7787b,8d9e4e30ec5c46170e8895296796c2614e1bb484,push mov push push mov push sub mov xor push lea mov mov mov push lea call mov mov mov cmp jnz jmp push mov mov push call mov cmp jnz jmp mov xor mov mov mul seto neg or push call add mov mov mov mov shl push push mov push call add lea push mov push mov mov mov call call add test jz jmp xor jnz cmp jz mov push lea call mov mov mov push call,both,patched,432.0,0.0
4764752,sub_48B450,385.0,9.0,16.0,533.0,21f9c9ba87d05e1bc1566cc9b0bec4576aa25c4a,a2ae3f41e6c2d298dc9593c3b5a2b2f010785d1b,jcnd jcnd mov mov mov mov und und mov mov und und und mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call mov mov sub ldx mov mov mov add ldx mov setb seto sub setz setp sets mov mov mov mov sub ldx mov mov mov add ldx mov nop push mov nop push mov nop push mov mov sub ldx mov mov mov add ldx mov nop push mov nop nop,sub_48B450,385.0,9.0,16.0,113.0,d9d31514c03201b2ad4cc59f742ac872cbfb718e,c0c890ab369ba52cf1257dd8c7bf47b4883f0471,push mov push push mov push sub push mov xor push lea mov mov mov call mov cmp jz mov mov push push push mov mov push call mov mov push push push mov mov push call lea call mov mov mov push push lea push call mov call lea call test jle lea call push mov add mov mov mov mov mov call mov call push call mov call mov mov mov mov mov call mov call mov call,both,patched,420.0,0.0
4355984,sub_427790,104.0,5.0,8.0,96.0,a20a9ea148afa1e167e401dc7dc067364c6fb9b5,8d3a5f5aecaed2a93d54cc413b369707f3972efe,jcnd push mov push push mov push push mov xor push lea mov mov movzx test jz push mov push call add mov mov pop mov pop retn mov mov mov und und und mov mov mov sub stx mov mov add ldx xdu mov and mov mov setz setp sets mov mov mov nop push mov mov sub ldx mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov mov sub,sub_427790,186.0,27.0,58.0,514.0,f142d0756e018764f0f5bc442e991eb8b8689dee,46308434f634372b6b05e06d830f49bff2a08ca0,jcnd jcnd jcnd jcnd jcnd goto jcnd goto jcnd goto jcnd goto goto jcnd jcnd jcnd goto jcnd goto goto goto loop frstor cmpsb retf pop jmp add jz cli loop sar into sahf add call std cli arpl mov push jnb ja lds xor jle xchg mov mov add xchg das rol mov push jnp fistp scasd into push adc cmp cli scasb add jz cli mov xor scasb fcmovb lds scasd stosb xor sbb lahf pop jnp xchg,both,patched,418.0,82.0
4308064,sub_41BC60,26.0,1.0,0.0,44.0,cd9c8c093237ea06eb1ed82bb4f0c602d98ca7be,5de1ef4a16a419e7d0b5c612cc5ce96fe92cb77f,push mov push mov mov mov mov mov mov mov pop retn mov mov mov mov sub stx mov mov add ldx mov mov mov sub ldx mov mov mov add ldx mov mov mov mov stx mov mov nop pop mov add icall,sub_41BC60,165.0,20.0,40.0,451.0,8113a48ca46aa6836fdc8946b85280fe8e1fee8e,f6fbd373083aa8add92c65cf7f2d5919b581dd53,jcnd jcnd jcnd goto jcnd goto jcnd jcnd jcnd jcnd goto jcnd goto aas fst mov xlat dec call fcmovb retn cmp aaa das rol insb retf push jnp les cmp cmp jecxz mov fcmovb js cmc bts mov mov add in sti call cmp xchg das shl cmp retn jz cli xchg das rol mov jp xor sahf mov pop jbe mov scasb add mov adc scasb out push cli scasb add in sti call cmp aaa sbb cmp,both,patched,407.0,139.0
4252704,sub_40E420,28.0,1.0,0.0,55.0,30c9616fa3739a46f0dbef7542019d691d2c2363,bb2814f7a991e8052a9d681d0915c947315ded9e,mov mov mov add ldx mov nop push mov mov add ldx mov nop push mov mov add ldx mov nop push mov mov add ldx mov mov nop nop mov mov call mov mov add ldx mov nop pop mov icall push mov mov push mov push mov push mov call mov pop retn,sub_40E420,197.0,44.0,98.0,460.0,5499ab48b2f667d29fb2976a57fa11bbf9bdb1d9,aa12056f7c98f7e069c3e1666d72bd7a2a165a08,jcnd jcnd jcnd goto jcnd goto jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd goto jcnd jcnd jcnd jcnd jcnd jcnd jcnd jcnd goto goto goto goto goto goto goto goto goto mov mov mov mov mov nop push mov mov add ldx cfshr shr und setz setp sets stx mov mov setb seto sub setz setp sets mov mov mov stx call call mov nop nop mov nop nop mov mov icall mov mov setb seto sub setz setp,both,patched,405.0,169.0
