address,name_legit,size_legit,nodes_legit,edges_legit,inst_count_legit,mnemonic_sha1_legit,disasm_sha1_legit,mnemonic_preview_legit,name_patched,size_patched,nodes_patched,edges_patched,inst_count_patched,mnemonic_sha1_patched,disasm_sha1_patched,mnemonic_preview_patched,_merge,classification
4199360,sub_4013C0,10.0,1.0,0.0,12.0,9067bfc4047b4462d7e3c7cced5cfd14deb92378,d30a821bda1dd606ba4e191b2a2d5f204aa788a9,mov mov mov nop pop mov icall push mov mov pop retn,,,,,,,,,left_only,removed_from_patched
4199440,sub_401410,30.0,1.0,0.0,44.0,83b072dbca4270fca5871b3508fa688a3fe76918,56248d545c136126e6c1ccfb3b29f0e9c3922049,mov nop push mov mov add ldx mov nop push mov sub mov mov nop nop mov mov call mov nop push mov sub mov nop push mov nop nop mov mov call push mov push mov push lea call push lea push call,,,,,,,,,left_only,removed_from_patched
4199488,sub_401440,76.0,9.0,18.0,83.0,43c09c40ce8aeb88cff3d69f02451c172bf248d3,3588e26418ab2cff6698d48a4d710b4f4dd575f1,goto goto goto mov mov mov mov add ldx mov mov mov mov sub stx mov mov mov sub ldx mov jtbl mov nop push mov nop nop mov mov call mov nop push mov nop nop mov mov call mov mov mov nop push mov nop nop mov mov call mov mov add ldx mov nop pop mov icall push mov push mov mov cmp ja mov movzx jmp push call jmp push call jmp jmp push call mov,,,,,,,,,left_only,removed_from_patched
4199664,"void ATL::Checked::wmemcpy_s(wchar_t near *,unsigned int,wchar_t const near *,unsigned int)",38.0,1.0,0.0,80.0,ad5da162f384c00e5ee993706d8bf8b8162933a6,10da2191025806c9c34777c547d0cff0ff89760a,mov mov mov add ldx mov nop push mov mov add ldx mov nop push mov mov add ldx mov nop push mov mov add ldx mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall push mov mov push mov push mov push mov push call add push call add pop retn,,,,,,,,,left_only,removed_from_patched
4199712,?wmemcpy_s@Checked@ATL@@YAXPA_WIPB_WI@Z_0,38.0,1.0,0.0,80.0,ad5da162f384c00e5ee993706d8bf8b8162933a6,356af5e5545ee115327dd7849818efdff0efd38e,mov mov mov add ldx mov nop push mov mov add ldx mov nop push mov mov add ldx mov nop push mov mov add ldx mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall push mov mov push mov push mov push mov push call add push call add pop retn,,,,,,,,,left_only,removed_from_patched
4199760,?wmemcpy_s@Checked@ATL@@YAXPA_WIPB_WI@Z_1,38.0,1.0,0.0,80.0,ad5da162f384c00e5ee993706d8bf8b8162933a6,a4bd0bc2a0ddd81efb8c4d3a414db840bedeb691,mov mov mov add ldx mov nop push mov mov add ldx mov nop push mov mov add ldx mov nop push mov mov add ldx mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall push mov mov push mov push mov push mov push call add push call add pop retn,,,,,,,,,left_only,removed_from_patched
4199840,sub_4015A0,27.0,4.0,8.0,62.0,56920211de2c294b8648ad0ec0604d0918371ffe,12ca64a2b1ac27d07157592035bbd1bcd9fa07bf,jcnd goto mov mov mov add ldx mov setb seto sub setz setp sets mov mov lnot mov mov mov setz setp sets mov mov mov mov add ldx mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov nop pop mov icall push mov cmp jnz xor jmp mov push call add pop retn,,,,,,,,,left_only,removed_from_patched
4199872,__CrtIsValidPointer,33.0,4.0,8.0,54.0,8615b5d9a140ae3bc7fd52a5df4e8b13fa38312d,c0539566c00de8f7b4fc2c7d97eabefc3a7da854,jcnd goto mov nop push mov mov add ldx mov setb seto sub setz setp sets mov mov mov mov mov mov sub stx mov mov mov mov mov mov sub stx mov mov sub ldx mov mov nop pop mov icall push mov push cmp jz mov jmp mov mov mov pop retn,,,,,,,,,left_only,removed_from_patched
4199920,sub_4015F0,61.0,3.0,6.0,114.0,242232f6e75af0b8e59cf18304f5f2f182d0b8c2,f550cbaa17f7f578ac1228694cd51f76668a471b,jcnd mov mov mov mov und und mov mov mov sub stx mov mov mov mov sub stx mov nop push mov nop push mov mov sub ldx mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov and mov mov setz setp sets mov mov lnot mov nop nop mov mov ldx icall nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov mov,,,,,,,,,left_only,removed_from_patched
4199984,sub_401630,168.0,14.0,38.0,370.0,9aad9e8295332488a9142bccba498272906ccef6,a29f645ee55422e46ff071920360cfc4744e1318,jcnd goto jcnd goto jcnd jcnd goto jcnd goto jcnd goto mov mov mov mov und und mov mov add ldx mov nop push mov mov add ldx mov nop push mov nop nop mov mov ldx icall mov mov mov sub stx mov mov sub ldx mov setb seto sub setz setp sets mov mov lnot mov mov mov setz setp sets mov mov mov mov sub ldx mov nop push mov nop nop mov mov ldx icall mov,,,,,,,,,left_only,removed_from_patched
