address,name_legit,name_patched,mnemonic_preview_legit,mnemonic_preview_patched
4201088,sub_401A80,sub_401A80,jcnd jcnd mov mov mov mov und und mov mov mov sub stx mov mov sub ldx mov mov mov mov mov stx mov mov sub ldx mov mov mov add ldx xdu mov and mov mov setz setp sets mov mov mov mov sub ldx mov mov mov add ldx mov setb seto sub setz setp sets mov mov mov mov sub ldx mov mov mov add ldx mov nop push mov nop nop mov mov ldx icall mov,jcnd goto mov mov call mov mov setb seto sub setz setp sets nop pop call mov mov setb seto sub setz setp sets nop pop mov add icall mov mov ldx cfadd ofadd add setz setp sets mov call scasb add jz cli cmp popf cmp retn adc loopne hlt cli scasb add jno shr mov add
4201152,sub_401AC0,sub_401AC0,mov mov mov mov sub stx mov mov add ldx mov nop push mov nop push mov mov sub ldx mov mov mov add ldx mov nop push mov nop nop mov mov ldx icall nop pop mov add icall push mov push mov mov push push mov mov push call mov pop retn,jcnd jcnd goto goto goto mov mov call mov mov ldx mov ext cfshl mov mov und mov mov mov mov mov mov lnot mov mov ldx mov cfshr shr und setz setp sets stx mov mov mov stx seto sub setz setp sets mov or mov mov setz setp sets mov mov ldx setb seto sub setz setp sets mov add nop pop mov mov add ldx xdu add setb seto sub setz setp sets jz cli xchg das
4201360,sub_401B90,sub_401B90,mov mov mov mov sub stx mov mov add ldx mov nop push mov nop push mov mov sub ldx mov mov mov add ldx mov nop push mov nop nop mov mov ldx icall nop pop mov add icall push mov push mov mov push push mov mov push call mov pop retn,jz cli xchg das rol mov mov jno shr mov pop add stosd test lds mov movsd scasd push cli mov push shr push mov mov add jz cli xchg das rol retf add xchg das rol retf add jz cli cmp sar mov sbb cdq jnp fcmovnb lds faddp lds jno push cli scasb add jz cli cmp sar mov sbb mov jnb mov retf sti call cmp cmp insb retf xchg cli shl loope aas test push fidivr
4202704,sub_4020D0,sub_4020D0,jcnd mov mov mov mov und und mov mov mov sub stx mov mov mov setz setp sets mov mov lnot mov mov add ldx mov nop push mov mov sub ldx mov mov mov add ldx mov mov mov sub ldx mov mov mov add ldx mov mov mov ldx mov mov mov add ldx mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov ldx nop mov mov nop nop mov mov,jcnd goto mov mov call mov mov setb seto sub setz setp sets ext nop pop ldx add icall mov mov ldx cfadd ofadd add setz setp sets mov call mov retn into push and jle xor cmp movsd test shr cmpsb out fbstp shl outsd fidiv insb retn adc scasb add jz cli cmp insb retf adc js mov scasb jnz mov nop jno push cli scasb add jbe mov fcmovb loop clc adc scasb fcmovb lds jbe dec
4202768,sub_402110,sub_402110,jcnd goto jcnd goto jcnd jcnd goto jcnd goto jcnd goto jcnd jcnd jcnd goto jcnd goto mov mov mov mov und und mov mov mov sub stx mov mov add ldx mov setb seto sub setz setp sets mov mov xor mov mov mov mov sub stx mov mov mov mov mov mov sub stx mov mov sub ldx mov mov mov mov sub stx mov mov sub ldx mov setb seto sub setz setp sets mov mov lnot,jcnd goto goto mov mov call mov mov setb seto sub setz setp sets ext mov mov add ldx xdu add setb seto sub setz setp sets mov mov jz cli cmp insb sbb mov
4203040,sub_402220,sub_402220,mov mov mov mov sub stx mov mov sub ldx mov mov cfadd ofadd add setz setp sets mov mov nop nop mov mov call mov mov sub ldx mov mov cfadd ofadd add setz setp sets mov nop pop mov icall push mov push mov mov add call mov add mov pop retn,jcnd goto jcnd jcnd goto jcnd goto jcnd goto jcnd mov mov ldx setb seto sub setz setp sets mov add mov mov add ldx mov mov xds xds mul mov setnz setnz und und und mov mov xor or lnot mov mov xor or mov mov ldx mov call nop push mov mov or mov mov sub ldx mov add ldx mov mov setb seto sub setz setp sets mov mov mov mov ldx mov ext ext mov mov
4203088,public: virtual void near * wxRegionIterator::`scalar deleting destructor'(unsigned int),sub_402250,jcnd mov mov mov mov sub stx mov mov sub ldx mov mov nop nop mov mov call mov mov add ldx mov mov and mov mov setz setp sets mov mov mov nop push mov mov sub ldx mov nop push mov nop nop mov mov call mov cfadd ofadd add setz setp sets mov mov mov sub ldx mov nop pop mov add icall push mov push mov mov call mov and jz push mov push call add,jcnd goto goto mov mov call mov mov ldx mov ext cfshl mov mov und ext nop pop ldx add icall jz cli xchg das rol insb retf
4204784,??0?$CStringT@_WV?$StrTraitMFC@_WV?$ChTraitsCRT@_W@ATL@@@@@ATL@@QAE@PBD@Z_0,sub_4028F0,jcnd push mov push push mov push push mov xor push lea mov mov call push mov call mov mov push mov call movzx test jnz mov push mov call mov mov mov mov pop mov pop retn mov mov mov und und und mov mov mov sub stx mov nop nop mov mov call nop push mov mov sub ldx mov mov nop nop mov mov call mov mov mov mov sub stx mov mov add ldx mov nop,jcnd goto goto jz mov mov
4204944,sub_402990,sub_402990,push mov push mov call push mov call mov mov pop retn mov mov mov mov sub stx mov nop nop mov mov call nop push mov mov sub ldx mov mov nop nop mov mov call mov mov sub ldx mov nop pop mov icall,add xchg das rol insb retf cli mov cmp popa scasd jb scasb fcmovb lds scasd stosb xor sbb lahf pop jnp cdq scasd into dec jnp fild scasd into xchg into mov daa rol cdq scasd into push jnb ja insb mov cmp mov jb les add in sti call cmp xchg das rol mov push jnp fild jnb jz cli xchg das rcr and jno rol or mov jno shr push mov cli scasb add
4204976,sub_4029B0,sub_4029B0,jcnd push mov sub mov cmp jnz mov call mov mov mov push mov mov push call add mov mov push mov call mov pop retn mov mov mov mov und und mov mov mov sub stx mov mov add ldx mov setb seto sub setz setp sets mov mov lnot mov mov sub ldx mov mov nop nop mov mov call mov mov add ldx mov mov mov mov sub stx mov mov sub ldx mov nop push mov,jcnd goto goto jz cli cmp popf xor into mov sub insb retf mov mov call mov mov setb seto sub setz setp sets nop pop call mov xor mov mov setz setp sets ext mov mov mov setb seto sub setz setp sets ext nop pop ldx add icall
