address,name_legit,name_patched,size_legit,size_patched,nodes_legit,nodes_patched,edges_legit,edges_patched,inst_count_legit,inst_count_patched,mnemonic_sha1_legit,mnemonic_sha1_patched,disasm_sha1_legit,disasm_sha1_patched,mnemonic_preview_legit,mnemonic_preview_patched,_merge,classification,inst_delta,size_delta
4385565,sub_42EB1D,sub_42EB1D,28,28,1,1,0,0,38,38,fad166b867f0503be39ba8e9584e1f2415232481,fad166b867f0503be39ba8e9584e1f2415232481,9bf29817c9d8d4ea1e7b3a50edf2e8535cd1f715,9bf29817c9d8d4ea1e7b3a50edf2e8535cd1f715,push mov sub lea call push lea push call mov mov mov mov und und mov sub mov mov nop nop mov mov call mov nop push mov sub mov nop push mov nop nop mov mov call,push mov sub lea call push lea push call mov mov mov mov und und mov sub mov mov nop nop mov mov call mov nop push mov sub mov nop push mov nop nop mov mov call,both,same,,
4385696,sub_42EBA0,sub_42EBA0,6,6,1,1,0,0,8,8,d233a49ca4c6ec3e8d07152f881b8ff76dfee068,d233a49ca4c6ec3e8d07152f881b8ff76dfee068,cd7e2ade0cc3221e1f40bcaf93f904a574f0db0b,cd7e2ade0cc3221e1f40bcaf93f904a574f0db0b,mov retn mov mov nop pop mov icall,mov retn mov mov nop pop mov icall,both,same,,
4386366,sub_42EE3E,sub_42EE3E,6,6,1,1,0,0,10,10,939c978daf7e512fa1cdbc0e41da205683b270d8,939c978daf7e512fa1cdbc0e41da205683b270d8,d791c979bdf484ca6493fb5c5e7f9b6a7567dd4a,d791c979bdf484ca6493fb5c5e7f9b6a7567dd4a,mov retn mov mov ldx mov nop pop mov icall,mov retn mov mov ldx mov nop pop mov icall,both,same,,
4402615,sub_432DB7,sub_432DB7,3,3,1,1,0,0,10,10,939c978daf7e512fa1cdbc0e41da205683b270d8,939c978daf7e512fa1cdbc0e41da205683b270d8,97ae625d07bb6bd59f8fe2f187aa9e4f199e1f4f,97ae625d07bb6bd59f8fe2f187aa9e4f199e1f4f,mov retn mov mov ldx mov nop pop mov icall,mov retn mov mov ldx mov nop pop mov icall,both,same,,
4403115,sub_432FAB,sub_432FAB,24,24,1,1,0,0,46,46,dc178d5094f7dcc1658b35fcfd78abbf107faca4,dc178d5094f7dcc1658b35fcfd78abbf107faca4,cc3bb9cbddcd00037eaa1a02f8e6349245a58a53,cc3bb9cbddcd00037eaa1a02f8e6349245a58a53,and mov and mov mov retn mov mov add ldx mov and mov mov setz setp sets stx mov mov mov add ldx mov and mov mov setz setp sets stx mov mov mov mov add stx mov mov mov mov stx nop pop mov icall,and mov and mov mov retn mov mov add ldx mov and mov mov setz setp sets stx mov mov mov add ldx mov and mov mov setz setp sets stx mov mov mov mov add stx mov mov mov mov stx nop pop mov icall,both,same,,
4406336,sub_433C40,sub_433C40,8,8,2,2,2,2,13,13,1779fcb3f8faffab89550ad307bd99b06d85bc88,1779fcb3f8faffab89550ad307bd99b06d85bc88,028703752c687ca822e8c04b41a30a208f034911,028703752c687ca822e8c04b41a30a208f034911,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,both,same,,
4406368,_guard_check_icall_nop(x),_guard_check_icall_nop(x),1,1,1,1,0,0,5,5,fadae987186a44425ac18229a477e6dbb3312a92,fadae987186a44425ac18229a477e6dbb3312a92,cc95805262cf3a52c762e62836fa35557262e816,cc95805262cf3a52c762e62836fa35557262e816,retn nop pop mov icall,retn nop pop mov icall,both,same,,
4406384,sub_433C70,sub_433C70,8,8,2,2,2,2,13,13,1779fcb3f8faffab89550ad307bd99b06d85bc88,1779fcb3f8faffab89550ad307bd99b06d85bc88,1cf148a45d2b6fd2f688418e740080725eb44f77,1cf148a45d2b6fd2f688418e740080725eb44f77,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,both,same,,
4406832,sub_433E30,sub_433E30,8,8,2,2,2,2,13,13,1779fcb3f8faffab89550ad307bd99b06d85bc88,1779fcb3f8faffab89550ad307bd99b06d85bc88,26d03d67694a1bd6344b981915b950d9e5af71b2,26d03d67694a1bd6344b981915b950d9e5af71b2,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,both,same,,
4406960,sub_433EB0,sub_433EB0,8,8,2,2,2,2,13,13,1779fcb3f8faffab89550ad307bd99b06d85bc88,1779fcb3f8faffab89550ad307bd99b06d85bc88,6f9ae26befba1d51438c9ff274ff178dcfb40b5d,6f9ae26befba1d51438c9ff274ff178dcfb40b5d,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,add jmp mov cfadd ofadd add setz setp sets mov mov mov call,both,same,,
